# 14:57:04

代码             名称            现价      涨跌      卖一       H       L     pb%
----------------------------------------------------------------------
002384.SZ      东山精密      187.68  -0.61%    0.00  195.55  178.99  +0.61%
002463.SZ      沪电股份      117.12  +1.31%    0.00  121.87  112.01  -1.31%
002916.SZ      深南电路      353.75  +1.31%    0.00  367.29  338.08  -1.31%
002938.SZ      鹏鼎控股       93.86  +3.00%    0.00   96.17   88.03  -3.00%
003031.SZ      中瓷电子      111.74  +2.86%    0.00  113.88  105.58  -2.86%
600105.SH      永鼎股份       38.38  +5.01%    0.00   38.54   35.39  -5.01%
600183.SH      生益科技      127.29  +3.66%    0.00  130.99  119.50  -3.66%
600330.SH      天通股份       21.65 +10.01%    0.00   21.65   19.34 -10.01%
600378.SH      昊华科技       48.26  +9.51%    0.00   48.48   43.35  -9.51%
601126.SH      四方股份       44.69  +0.25%    0.00   45.62   43.57  -0.25%
603259.SH      药明康德      142.69  -3.26%    0.00  149.37  141.45  +3.26%
603938.SH      三孚股份       41.34  +3.87%    0.00   41.65   39.01  -3.87%
605589.SH      圣泉集团       39.53  +1.59%    0.00   40.57   38.12  -1.59%
