序号|股票代码|股票简称|现价|涨跌幅(%)|所属行业|最新流通市值(元)|所属概念|概念个数
1|000001|平安银行|11.49|-0.26|全国性银行|222970347520|跨境支付|1
2|000002|万 科Ａ|3.91|1.03|房地产开发|37993218048|装配建筑;物业管理;含H股;体育概念;养老概念;智能机器;粤港澳|7
3|000009|中国宝安|8.65|-6.79|电池|22282575872|黄金概念;锂电池;稀土永磁;创投概念;3D打印;充电桩;石墨烯;土地流转;一带一路;氢能源;新能源车;钠电池;电池回收;减速器;储能;物业管理;镍金属;液冷服务;高压快充;智能机器;钴金属;固态电池;粤港澳;口罩防护;人形机器;燃料电池|26
4|000021|深科技|29.22|-0.03|消费电子|45992976384|智能机器;消费电子;汽车电子;无人机;存储芯片;区块链;CPO概念;新能源车;先进封装;芯片;储能;虚拟电厂;三代半导;超级电容;智能电网;物联网;云计算|17
5|000027|深圳能源|6.84|-1.72|电力|32540547072|碳中和;创投概念;光伏;节能环保;风电;充电桩;氢能源;BIPV概念;储能;天然气;虚拟电厂;PPP概念;临界发电;DeepSeek;粤港澳;特高压;租购同权;数据中心;绿色电力;垃圾分类|20
6|000034|神州数码|37.67|0.61|云服务|22840080384|大数据;远程办公;低空经济;AI智能体;阿里概念;芯片;华为海思;AI手机PC;无人驾驶;物联网;云计算;信息安全;智能机器;消费电子;华为鸿蒙;算力租赁;英伟达;DeepSeek;ChatGPT;智谱AI;人工智能;腾讯概念;信创;区块链;数据中心;东数西算;液冷服务;抖音概念;数字孪生;边缘计算;华为算力|31
7|000039|中集集团|12.39|-0.32|通用设备|28514437120|含H股;物联网;国防军工;核电核能;可燃冰;高端装备;风电;一带一路;氢能源;工业互联;机器视觉;商业航天;储能;天然气;海洋经济;无人驾驶;数据中心;航运概念;绿色电力;冷链物流;智能机器;DeepSeek;粤港澳;可控核变;智谱AI;人工智能|26
8|000060|中金岭南|6.75|1.5|工业金属|29977534464|黄金概念;稀缺资源;钴金属;DeepSeek;镍金属|5
9|000062|深圳华强|36.92|3.56|其他电子|38577709056|智能机器;雄安新区;粤港澳;汽车电子;6G概念;腾讯概念;存储芯片;创投概念;互联金融;智慧城市;三代半导;华为算力;CPO概念;AI智能体;新能源车;芯片;华为海思|17
10|000063|中兴通讯|36.7|0.77|通信设备|147813711872|元宇宙;星闪概念;低空经济;AI智能体;新能源车;商业航天;芯片;百度概念;储能;AI手机PC;AI医疗;含H股;物联网;5G概念;锂电池;水利建设;卫星导航;云计算;智能穿戴;信息安全;智能机器;量子科技;消费电子;多模态AI;车联网;DeepSeek;粤港澳;汽车电子;无人机;ChatGPT;6G概念;人工智能;腾讯概念;光通信;人形机器;AI眼镜;国产软件;虚拟现实;区块链;智慧城市;数据中心;东数西算;液冷服务;抖音概念;边缘计算|45
11|000066|中国长城|19.82|9.99|IT设备|63930392576|量子科技;消费电子;算力租赁;车联网;DeepSeek;粤港澳;汽车电子;军民融合;人工智能;信创;国产软件;区块链;智能电网;5G概念;国防军工;锂电池;卫星导航;云计算;信息安全;智慧城市;数据中心;东数西算;液冷服务;操作系统;钠电池;商业航天;芯片;百度概念;AI手机PC;智能医疗|30
12|000100|TCL科技|4.27|-1.16|光学光电|81693581312|MiniLED;消费电子;DeepSeek;OLED概念;AI眼镜;虚拟现实;小米概念;工业互联;超清视频;MicroLED;芯片;折叠屏;通达信88;光伏|14
13|000155|川能动力|17.42|-9.51|电力|32160251904|绿色电力;锂电池;光伏;节能环保;风电;锂矿;磷概念;储能|8
